기간	지역	월별	발생	발생	발생	발생	소실	소실	소실	피해액	피해액	피해액	재산피해경감액	인명피해	인명피해	인명피해	이재민수	구조인원
기간	지역	월별	합계	실화	방화	기타	동수	이재가구수	면적	합계	부동산	동산	재산피해경감액	합계	사망	부상	이재민수	구조인원
2016	동대문구	8월	19	14	2	3	3	-	161	77,922	23,395	54,527	996,962	-	-	-	-	-
2016	동대문구	9월	19	16	1	2	-	-	108	51,182	29,067	22,115	835,882	1	1	-	-	6
2016	동대문구	10월	13	13	-	-	-	-	55	26,190	15,645	10,545	869,278	-	-	-	-	-
2016	동대문구	11월	18	16	1	1	-	-	44.98	39,265	11,229	28,036	1,292,834	-	-	-	-	1
2016	동대문구	12월	20	19	-	1	-	-	65.41	35,572	14,665	20,907	250,928	-	-	-	-	-
2016	중랑구	계	195	165	4	26	31	-	925	333,552	128,223	205,329	32,507,323	8	-	8	-	16
2016	중랑구	1월	25	20	-	5	7	-	20	42,907	21,613	21,294	7,243,197	2	-	2	-	5
2016	중랑구	2월	25	17	2	6	3	-	646	33,983	11,017	22,966	1,052,464	2	-	2	-	3
2016	중랑구	3월	25	20	1	4	6	-	16	19,097	4,989	14,108	341,767	-	-	-	-	-
2016	중랑구	4월	14	13	-	1	1	-	5	4,728	1,285	3,443	19,398,976	1	-	1	-	-
2016	중랑구	5월	18	16	1	1	3	-	151	133,179	45,985	87,194	1,433,436	-	-	-	-	-
2016	중랑구	6월	11	9	-	2	1	-	40	24,161	10,369	13,792	123,270	-	-	-	-	-
2016	중랑구	7월	9	8	-	1	1	-	22	6,254	3,118	3,136	-	-	-	-	-	-
2016	중랑구	8월	17	16	-	1	3	-	5	11,607	2,366	9,241	1,025,277	-	-	-	-	1
2016	중랑구	9월	17	16	-	1	-	-	7	13,545	10,928	2,617	138,524	-	-	-	-	-
2016	중랑구	10월	9	9	-	-	-	-	-	17,567	5,951	11,616	12	-	-	-	-	-
2016	중랑구	11월	11	11	-	-	2	-	-	7,209	3,017	4,192	11,876	-	-	-	-	-
2016	중랑구	12월	14	10	-	4	4	-	13	19,315	7,585	11,730	1,738,524	3	-	3	-	7
2016	성북구	계	194	156	4	34	28	7	777.28	411,505	173,396	238,109	8,795,193	16	1	15	19	17
2016	성북구	1월	23	17	1	5	5	4	55	45,418	29,896	15,522	1,976,002	1	-	1	12	2
2016	성북구	2월	21	18	1	2	3	-	82	17,822	4,797	13,025	37,047	-	-	-	-	-
2016	성북구	3월	26	23	-	3	3	-	104	32,765	10,277	22,488	320,183	3	-	3	-	1
2016	성북구	4월	19	13	-	6	4	-	126	53,683	33,847	19,836	155,629	3	-	3	-	5
2016	성북구	5월	18	17	-	1	2	2	40	36,527	25,258	11,269	389,320	2	-	2	4	4
2016	성북구	6월	13	12	-	1	1	-	11	14,651	2,327	12,324	348,498	1	1	-	-	-
2016	성북구	7월	18	13	1	4	2	-	25	74,790	15,763	59,027	595,748	-	-	-	-	3
2016	성북구	8월	10	10	-	-	-	-	4	6,993	3,324	3,669	40,775	-	-	-	-	-
2016	성북구	9월	15	10	1	4	2	-	13.78	14,488	4,930	9,558	3,324,813	2	-	2	-	-
2016	성북구	10월	11	9	-	2	1	-	40	17,332	8,036	9,296	584,528	2	-	2	-	1
2016	성북구	11월	7	4	-	3	4	1	256.5	81,792	25,919	55,873	777,612	-	-	-	3	-
2016	성북구	12월	13	10	-	3	1	-	20	15,244	9,022	6,222	245,038	2	-	2	-	1
2016	강북구	계	170	135	9	26	77	-	2,305.45	382,715	185,355	197,360	13,362,117	10	4	6	-	1
2016	강북구	1월	17	14	-	3	7	-	1,689.6	22,388	11,503	10,885	407,966	1	-	1	-	-
2016	강북구	2월	11	10	-	1	7	-	-	8,270	265	8,005	2,617,428	-	-	-	-	-
2016	강북구	3월	15	12	2	1	6	-	72.6	20,107	14,661	5,446	185,570	-	-	-	-	-
2016	강북구	4월	16	14	1	1	8	-	124.95	40,911	27,385	13,526	874,102	3	2	1	-	-
2016	강북구	5월	15	12	2	1	5	-	57.92	19,905	9,659	10,246	618,548	-	-	-	-	-
2016	강북구	6월	12	11	-	1	7	-	3	2,465	623	1,842	102,214	-	-	-	-	-
2016	강북구	7월	16	12	-	4	4	-	16.07	43,830	35,679	8,151	4,528,864	-	-	-	-	-
2016	강북구	8월	12	11	-	1	6	-	89.39	16,345	12,574	3,771	930,640	1	-	1	-	-
2016	강북구	9월	12	7	2	3	5	-	72	43,045	26,753	16,292	241,988	1	1	-	-	-
2016	강북구	10월	13	11	-	2	5	-	25	32,789	6,112	26,677	260,472	1	1	-	-	1
2016	강북구	11월	19	13	2	4	13	-	32	46,093	10,781	35,312	2,308,116	-	-	-	-	-
2016	강북구	12월	12	8	-	4	4	-	122.92	86,567	29,360	57,207	286,209	3	-	3	-	-
2016	도봉구	계	222	201	5	16	16	8	710.19	360,498	212,943	147,555	9,041,637	10	5	5	33	41
2016	도봉구	1월	12	12	-	-	-	-	-	2,647	148	2,499	2,010	1	-	1	-	-
2016	도봉구	2월	23	23	-	-	1	-	39.1	17,667	8,920	8,747	456,590	-	-	-	-	-
2016	도봉구	3월	17	14	-	3	1	-	23.2	15,175	5,929	9,246	869,623	1	1	-	-	5
2016	도봉구	4월	24	22	-	2	2	-	57.95	9,597	4,802	4,795	722,947	-	-	-	-	7
2016	도봉구	5월	11	9	1	1	2	-	-	1,240	173	1,067	141,180	-	-	-	-	-
2016	도봉구	6월	23	23	-	-	-	-	33	16,805	9,527	7,278	45	1	-	1	-	-
2016	도봉구	7월	27	23	2	2	3	1	58	16,025	5,223	10,802	137,618	-	-	-	2	1
2016	도봉구	8월	20	19	-	1	1	-	3	15,457	12,428	3,029	925,516	-	-	-	-	-
2016	도봉구	9월	21	18	2	1	2	6	222.44	177,320	113,909	63,411	3,861,408	7	4	3	27	27
